"sample_sentence","randomness"
"The number is subtracted from the die roll whenever a leader is defending.","1"
"If a different party plays the game with 
different characters, items possessed by 
 unused characters
 are considered to be in the city’s available supply 
and can be purchased.","0"
"When combined with the adjective title on the 
monster card, this provides the full title of the room.","0"
"Dealer shuffles Battle Deck and puts it face down","1"
" Unfortunately,  the 
light  is  accompanied  by  the  unmistakable 
stench of death.","0"
"The number added to the die roll 
whenever a leader is attacking","1"
"
5.1.1  Disorder Check.","0"
"If the Draw Pile is exhausted, shuffle the Discard Pile and use those cards as the new Draw Pile","1"
"Skirmishers may Reaction Move
instead (if vacating the hex, the
attacker advances and the melee
sequence ends).","1"
"The Alliance are experts in Guerrilla War. When defending in battle, the Alliance uses the higher roll and the attacker uses the lower roll","1"
"
Limbered artillery:
•May not fire.","0"
"Reaction


Event

If the Event title 

is in red, then the 

card must be re
 -

moved from play if 

used as an event.","0"
"
We are well-aware of the vast number of die-rolls needed to play
this game.","1"
"Page 4
13.0 Designers’ Optional Rules.................................","0"
"[5.0] RANDOM EVENTS
General Rule
Random events are the imponderables of war.","1"
"
The term ‘Phasing Player’ describes the player who is currently 
the protagonist conducting activities during that Phase.","0"
"
•","0"
"
cumulative (9.4.1), so only the single best (i.e., +1) is added.","0"
"
For Elite Forces, apply the Elite effects first (subtracting two from 
the Rout die roll) and then adjust for defending in a Fortified or 
Redoubt hex.","0"
"If this occurs, the game 
doesn't necessarily end: the player having no units would still spend 
initiative for orders as normal—though, with the exception of drawing and playing assets, he would pretty much always have to pass.","1"
"
Defense—One of a unit’s base stats.","0"
"Place 

the remainder face down as a Draw Pile.","1"
"
 
The Formula One season is 17 races.","0"
"Second, the Belgians mounted two effec-
tive sorties out of Antwerp, forcing the Germans to deploy up-
wards of two corps to screen their vulnerable supply lines.","0"
"If withdrawing from attacking infantry, the cavalry suffers one
hit on a die roll of 1 or 2.","1"
"Oxybeles have No facing; they may fire in any direction,
regardless of in which direction the actual counter is pointed.","1"
"Terrain also affects shock combat results by adjusting the
column under which the players roll to determine losses, as per the
Shock Combat Results Table.","0"
"Cheap to arm; expensive to train.","0"
"The die roll is “7”, so 

AS(2) receives1","1"
"When 

units from different contingents are involved in the same Shock 

Segment—not just the same attack, the same Segment—the attack
 -

ing player must roll a die and consult the Contingent Coordination 

Shock Table to see if the attacks for that segment can take place 

as “planned”.","1"
"6
 4.5   Honjin .................................................................","0"
"If that cannot be done, the 

unit remains Routed.","1"
"
[6.62] 10th NA DIVISION (GWiNE Only): place this unit in 
the Allied Near East Available Units Box, it may enter the map 
the same turn it is drawn.","1"
"
Only Mountain units may trace supply lines into and/or through 
Alpine hexes.","0"
"A Unit/Force which fails its avoid Battle roll 
may not commit Units in the subsequent Battle.","1"
"
 Kathryn Howard England draws a card from the deck after the 
Pregnancy Chart roll (representing Henry’s in-","1"
"Add 1 cavalry unit to the map for each 
such action taken.","0"
"Some hexsides are 
uncrossable: no unit may move across these.","0"
"Attacker Status: 2 attacker statuses can affect an attack:
•	Disorder: If any Attacker is Disordered, there is a –2 DRM.","0"
