"sample_sentence","randomness"
"If a different party plays the game with 
different characters, items possessed by 
 unused characters
 are considered to be in the city’s available supply 
and can be purchased.","0"
"When combined with the adjective title on the 
monster card, this provides the full title of the room.","0"
" Unfortunately,  the 
light  is  accompanied  by  the  unmistakable 
stench of death.","0"
"
5.1.1  Disorder Check.","0"
"Skirmishers may Reaction Move
instead (if vacating the hex, the
attacker advances and the melee
sequence ends).","1"
"
Limbered artillery:
•May not fire.","0"
"[React]          [React]
Front            Front
Rear         RearFlank FlankFigure A
Infantry in
Line Copyright ' GMT Games, 2000Great Battles of the Napoleonic Wars, Volume I
Page 11
Units in Column must face a hexside as
shown in Figure B above, not a hex vertex.","0"
"
6.5  Multi-Hex Counters
Both armies possess several units whose
counters cover more than one hex.","0"
"To	create	an	Epic	size	battlefield,	you	will	need	two	mounted	

gameboards.","0"
"
•","0"
"We recommend that, if played with a 

group, the Overall Commanders be the most experienced Com
 -

mands & Colors: Ancients players.","0"
"

Special Command Cards used as Field 

Commands

When a Special Command card is played, the Overall Com
-

mander must declare whether the Special Command card is be
 -

ing played, as an Army Command card or Field Command card.","0"
"With the 

Epic Ancients card, for each qualifying unit type or leader 

symbol rolled, one block of the appropriate type is rallied.","0"
"A player may have no
more than 3 GSPs (and any number of ASPs) in a non-Major
City space.","0"
"
4.Siege","0"
"The Persian Tyre and Egypt
fleets may not intercept it as it moves away.","0"
"Draw Z Card Segment.","0"
"To do this, the players put all the available APMs into the
APM Pool at the start of play to be selected at random, except
for one Macedonian APM held out at the start of the game to
indicate that the Macedonians go first (when using the historical
opening).","0"
"If multiple endangered animals are suppressed 
simultaneously (via Catastrophe, for example) you choose which one to put in your hand.","0"
"

SuppreSS
—Suppressing a healthy animal causes it to become endangered.","0"
"
All three players tie for most sun elements so all three score 
2 victory points.","0"
"

Solar Flare
 — When Solar Flare is played, if any player has Nocturnal in play, they 
may now play their extra card; then proceed directly to scoring the biome.","0"
"While it is 
healthy, ignore an animal’s endangered stats.","0"
"If it is
on the surface it draws one Target Flak card per attacking aircraft.","0"
