"Sentence","Randomness"
"You will play as one of four factions 
vying to show that you are the most legitimate ruler of the vast Woodland","0"
"Each turn is split into three phases: Birdsong, Daylight, and 
Evening.","0"
"First, roll two dice. The attacker deals hits 
equal to the higher roll, and the defender 
deals hits equal to the lower roll.","1"
"The player taking 
hits chooses which pieces to remove, but 
must remove all their own warriors in the 
clearing of battle before removing any of 
their own buildings or tokens there","0"
"Draw one card plus one card per uncovered draw bonus.","1"
"Throughout play, you will draw cards from Root’s shared deck 
into your hand, and many actions will require you to spend cards 
from your hand.","1"
"Spending a card represents calling upon animals to 
lend you their labor, to do you a favor, or to broker a deal","0"
"Do not draw 3 cards for each player. Instead, the walkthrough 
cards will tell the players to take specific cards from the deck.","0"
"Most of the other factions draw and discard during Evening in exactly the same way","1"
"discard cards","0"
"draw cards","1"
"choose cards","0"
"chose a card between the reds ones and the blue ones","0"
"play a card","0"
"Unlike in Birdsong, these cards come from your 
hand, not your supporters.","0"
"Optional Opening: All 7 Player APMs are placed in The APM
Pool; the Admin APM is left out. A player draws one of the 7 at
random.","1"
"Draw one Z card from the Deck (not
from the discards). No card may be drawn in the First Round of
the game.","1"
"Either Player draws an APM from the APM Pool.","1"
"If the Player selects an Administrative Phase APM for an Action
Round, or chooses to undertake an Administrative Phase during
his Activity Segment, conduct the following actions, in the given
order","0"
"A generic Revolt card allows the player to choose in which province he wishes to attempt to foment revolt","0"
"Other Leaders
become available only when drawn at random during an Action
Round","1"
"blindly and randomly remove one card from his hand and Discard it. You may not look to see which card it is.","1"
"Ignore the Turn Track, as this scenario uses a somewhat different
approach. There are five Turns (although here a Turn is somewhat
different). It should take about 2 hours to complete, maybe less.","0"
"Activation markers are drawn one
by one from a single pool during the Action Phase of the turn, which
determines the order in which each Activation Group is activated.","1"
"shuffle cards","1"
"All remaining Activation Markers are drawn randomly, one at
a time, from the Pool.","1"
"A unit may never move into or
through a hex containing an enemy combat unit.","0"
"",""
"Draw 2 Final Scoring cards and place them next 
to your zoo map. You may look at them at any 
time, but make sure to keep them hidden from 
the other players.","1"
"Shuffle the Base Conservation Project cards and place them face-down as 
a deck next to the Association board.","1"
"Shuffle the Final Scoring cards 
and place them face down next 
to the Association board.","1"
"Take a random Map A zoo map, and place it with that side 
up in front of you. Return the remaining zoo maps to the 
box. They are not used in this game.","1"
"Shuffle the 9 Bonus tiles and place a random 
Bonus tile face up on each on each of the 4 blank 
yellow Bonus spaces on the board","1"
"n Ark Nova you plan and build a modern, scientifically 
managed zoo","0"
" 
  1
 X
 X
 ","0"
"
 End of round:Monster actions:","0"
"On turn:Initiative [ ]:","0"
" B
  B
 Bor
 AA
 AChoose one pathStart of Round:
 ǱǱReduceǱelementǱstrength.ǱǱOptionalǱshortǱrest:ǱloseǱoneǱrandomǱdiscardǱandǱrecoverǱtheǱrest.,","1"
